GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMML class model evaluator code coverage,org.jpmml.evaluator,FloatValue,471,138,14,4,83,30,47,18,39,17
PMML class model evaluator code coverage,org.jpmml.evaluator,ReportingDoubleValue,862,568,10,10,93,80,34,28,28,24
PMML class model evaluator code coverage,org.jpmml.evaluator,ExpressionUtil.new Object() {...},12,89,0,0,0,4,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,CollectionValue.new Object() {...},3,23,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,ProbabilityAggregator.new ProbabilityAggregator() {...},0,11,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ProbabilityAggregator.new Function() {...},4,23,1,1,1,4,1,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,SecondsSinceMidnight.new TemporalField() {...},30,8,0,0,10,2,10,1,10,1
PMML class model evaluator code coverage,org.jpmml.evaluator,SecondsSinceMidnight.new TemporalQuery() {...},0,32,0,0,0,6,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,InlineTableUtil,27,267,7,29,6,65,7,17,0,6
PMML class model evaluator code coverage,org.jpmml.evaluator,ProbabilityAggregator.new Function() {...},4,21,1,1,1,4,1,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,TargetField,9,58,3,3,2,19,3,10,1,9
PMML class model evaluator code coverage,org.jpmml.evaluator,ModelField,53,46,2,2,16,17,5,8,4,7
PMML class model evaluator code coverage,org.jpmml.evaluator,EnumUtil,14,49,2,4,4,11,2,3,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ProbabilityDistribution,0,16,0,0,0,5,0,4,0,4
PMML class model evaluator code coverage,org.jpmml.evaluator,VoteAggregator,0,54,0,4,0,14,0,5,0,3
